gvkey,datadate,tic,atq,ltq,mkvaltq
6066,20060331,IBM,102468,69737,127861.0757
6066,20060630,IBM,103377,69828,116907.672
6066,20060930,IBM,104155,69907,123430.4829
6066,20061231,IBM,103234,74728,146354.8235
6066,20070331,IBM,101619,73810,139959.793
6066,20070630,IBM,102548,85792,143182.8368
6066,20070930,IBM,108609,88063,162323.2168
6066,20071231,IBM,120431,91961,149743.7954
6066,20080331,IBM,121823,93095,158142.3721
6066,20080630,IBM,120928,92663,160589.1852
6066,20080930,IBM,115910,88391,157130.8477
6066,20081231,IBM,109524,96059,112698.3194
6066,20090331,IBM,101944,88251,128030.1553
6066,20090630,IBM,103655,88181,136882.5073
6066,20090930,IBM,103675,85181,157120.0548
6066,20091231,IBM,109022,86267,170868.6133
6066,20100331,IBM,105208,83059,164461.0028
6066,20100630,IBM,103420,82244,155742.6074
6066,20100930,IBM,107174,84815,166650.3045
6066,20101231,IBM,113452,90280,180220.2527
6066,20110331,IBM,112960,90184,197510.5471
6066,20110630,IBM,113474,90264,204878.5625
6066,20110930,IBM,110158,87780,206104.9297
6066,20111231,IBM,116433,96197,213886.09
6066,20120331,IBM,115346,94563,240674.4366
6066,20120630,IBM,113832,93269,223503.9345
6066,20120930,IBM,115778,94112,234404.6009
6066,20121231,IBM,119213,100229,214031.8404
6066,20130331,IBM,117258,98044,236505.7602
6066,20130630,IBM,115153,97270,209346.8629
6066,20130930,IBM,117845,97837,201078.4437
6066,20131231,IBM,126223,103294,197772.1199
6066,20140331,IBM,122646,105906,194835.2982
6066,20140630,IBM,124314,106801,180833.5018
6066,20140930,IBM,118911,104516,187867.1578
6066,20141231,IBM,117532,105518,158996.04
