date,symbol,currassets,totassets,cogs,longtdebt,depamort,ebit,ebitda,currliab,totliab,netincome,rev,tax,roe,tat,de,pm
20130531,AIR,1033.7,2136.9,1714.5,622.2,108.6,136.6,245.2,389,1217.4,55,2167.1,26.7,0.0598151169,1.014132622,1.3239804241,0.0253795395
20130331,AVX,1945.533,2601.995,1103.759,0,46.871,146.405,193.276,330.877,629.065,-64.312,1414.4,-49.01,-0.032597203,0.5435829047,0.3188481092,-0.045469457
20130630,ACET,218.3,323.43,394.475,20.355,6.944,37.66,44.604,89.907,128.79,22.328,499.69,12.222,0.1147143444,1.5449710911,0.6616831073,0.0446837039
20130131,AIM,15.73,23.324,18.64,4.414,0.545,1.778,2.323,6.646,11.284,2.522,31.021,0.92,0.2094684385,1.3300034299,0.9372093023,0.0812997647
20130930,APD,3439.1,17850.1,6565.1,5056.3,907,1508.3,2415.3,3227.6,10275.4,994.2,10180.4,307.9,0.1312527229,0.5703273371,1.3565421733,0.0976582453
20130331,AIRT,30.528,36.055,87.342,0,0.533,2.732,3.265,7.861,7.931,1.67,103.064,1.06,0.0593798891,2.858521703,0.2820011378,0.016203524
20130630,ALAN,2.797,7.217,0.218,0,0.184,-1.544,-1.36,0.271,1.793,-0.683,0.391,0,-0.125921829,0.0541776361,0.3305678466,-1.746803069
20130331,0065A,593.2,1877.6,1763.3,1127.1,135.3,-87,48.3,258.6,2177.8,-203.3,1865.6,-17.8,0.6772151899,0.9936088624,-7.254497002,-0.108972985
20130930,SWKS,1073.3,2333.1,949.8,0,103.4,353.6,457,179.7,232,278.1,1792,66.4,0.1323592404,0.7680768077,0.1104183523,0.1551897321
20130228,AM,661.906,1583.463,768.335,286.381,49.405,126.119,175.524,368.596,901.586,49.918,1872.72,35.996,0.0732067514,1.1826736716,1.3222120705,0.0266553462
20130331,ASEI,254.969,281.449,102.147,2.914,5.114,26.268,31.382,68.488,77.204,17.454,186.68,8.992,0.0854561923,0.6632818024,0.3779970134,0.0934968931
20130430,AMSWA,79.848,113.07,41.983,0,4.153,13.784,17.937,28.76,29.826,10.411,100.467,5.114,0.1250660708,0.8885380738,0.3582960934,0.1036260663
